price,size,lsize,age,bathp,month,poolag,poolig,firep,sager,dagar,car_p,busy_rd,ele
95000,1360,1855,80,8,57,0,0,0,0,0,0,0,0
122500,1290,5790,18,7,55,0,0,1,1,0,0,0,0
75000,1056,1962,80,4,67,0,0,0,0,0,0,0,0
117000,1510,4500,80,10,49,0,0,0,0,0,0,0,0
143000,1544,4750,60,4,70,0,0,0,0,0,0,0,0
140000,1250,3700,80,4,71,0,0,1,0,0,0,0,0
113000,877,4400,80,6,58,0,0,0,0,0,0,0,0
125000,1500,5016,80,6,67,0,0,1,0,0,0,0,0
85000,1450,4506,80,4,49,0,0,0,0,0,0,0,0
119255,1775,4330,50,7,53,0,0,0,0,0,0,0,1
136150,1465,8100,19,7,55,0,0,1,1,0,0,0,0
94000,1100,2640,35,4,59,0,0,0,0,0,0,0,0
98500,1622,5052,80,4,56,0,0,1,0,0,0,0,0
109900,1190,4046,80,4,64,0,0,0,0,0,0,1,0
64000,1000,7998,80,4,52,0,0,0,1,0,0,1,0
94000,1200,5174,80,4,67,0,0,0,0,0,0,1,0
90000,2000,3000,55,5,51,0,0,0,0,0,0,1,0
145000,1600,5000,1,10,56,0,0,0,1,0,0,0,1
146000,1550,7560,2,6,67,0,0,1,1,0,0,0,1
128000,1052,2100,3,6,66,0,0,0,0,0,0,0,1
119000,960,4568,2,6,64,0,0,0,1,0,0,0,1
98000,1000,4513,3,4,49,0,0,1,0,0,0,0,1
108500,914,3000,6,5,59,0,0,0,0,0,0,0,0
139900,1250,3564,4,8,70,0,0,1,1,0,0,0,1
128000,1020,5565,3,6,67,0,0,1,1,0,0,0,1
114000,1300,3950,33,4,64,0,0,0,0,0,0,0,0
114000,1300,3950,33,4,64,0,0,0,0,0,0,0,0
112000,750,2646,80,4,70,0,0,0,0,0,0,0,0
111700,1150,4105,50,6,55,0,0,0,0,0,0,0,0
107000,1000,4725,12,7,57,0,0,0,0,0,0,0,1
128000,1000,4994,12,7,66,0,0,0,0,0,0,0,1
112900,936,5582,12,4,55,0,0,1,0,0,0,0,1
135000,1052,10894,36,6,67,0,0,1,0,0,0,0,0
120000,1196,4448,80,4,72,0,0,1,0,0,0,0,0
113000,1031,6825,12,4,55,0,0,0,0,0,0,0,0
139000,1100,5890,16,7,66,0,0,1,0,0,0,0,0
138000,1100,4950,15,4,64,1,0,1,1,0,0,1,0
133500,1100,5288,16,7,62,1,0,1,1,0,0,1,0
151000,1780,6235,1,4,56,0,0,1,1,0,0,0,1
79000,1030,2860,7,4,50,0,0,0,0,0,0,0,0
96000,1034,2860,5,4,59,0,0,1,0,0,0,0,1
142500,1500,5200,7,8,52,0,0,1,1,0,0,0,0
129900,1574,5643,80,7,65,0,0,0,0,0,0,0,0
101000,1350,5400,48,4,52,0,0,0,1,0,0,0,0
117000,1284,4290,60,4,65,0,0,0,0,0,0,0,0
169000,1530,5650,2,9,64,0,0,1,0,1,0,0,0
103000,1150,2900,12,6,52,0,0,0,0,0,0,0,0
139000,1200,7630,14,6,70,0,0,1,0,0,0,0,0
176000,1600,5775,0,10,59,0,0,1,0,1,0,0,0
176000,1618,5742,1,10,69,0,0,1,0,1,0,0,0
